Movement Agent Rewards
-312.8607107270853
-465.9854613135065
-411.7754614265044
-309.41624927447185
-494.20176664784265
-362.31642141237484
-491.47382722687775
-457.82116465506294
-508.220600957479
-341.9215627001455
-344.46431633446383
-315.5406916920093
-345.8269280502603
-321.89373112642056
-432.2800809228505
-478.0004284470428
-193.85730083462167
-419.3567019084644
-475.7772182520567
-44.336813180550884
-427.8948888350677
-132.46593252723505
54.99766865359653
-156.61552748516672
0.25543088953344506
-468.15702857473093
-455.87344012264623
-364.3280233015639
-317.1818582229517
-159.98075374089706
-433.3574838763528
-457.91563104299877
-356.60005617097295
-408.76078295493784
-337.5877487190339
-479.7250670121302
-496.36719715927507
-450.47428656184934
-396.5285508432585
-396.71527800318506
-361.2719231579108
-458.6926426129835
-377.5068920167412
-534.2461905334673
-426.84455771089927
-289.66359457464824
-456.02048859304807
-479.8782248236804
-524.8898368990601
-510.5632884876747
-358.55133192077153
-342.2891613571202
-175.649720856353
-165.52298162229184
124.14591178471456
-8.848254914987692
73.30063252663477
60.75855058146669
-366.4325930490874
-530.0239642525947
-449.2827140575051
-364.3447906113991
-400.7476203558643
34.675113649048875
-338.9817741508652
-371.63332222250955
-412.80118737762194
-352.91524095018275
-411.8436791947984
-463.20061935969284
-453.07071603844855
-409.4191605446368
-510.74250096195425
-375.7759660204332
-428.11412496546524
-419.0387925057699
-0.44809093392834554
-330.61188132936536
-488.817194295522
121.79654962556714
-90.62169824430343
-289.4053353947193
-393.7415750352059
-453.0085954896382
-296.0256112491233
-291.2422139959399
-347.9190121157415
-505.3543887389287
-371.8643703643082
-510.8282611232942
-519.8458551249764
-382.18521982938427
-367.6632442011234
-528.1516425216881
-367.7302543587186
-329.29001412118475
-433.4056107061307
-480.97047478855063
-498.5107236352625
-465.11018241745177
-341.96436272102574
-484.352194563656
-317.89063608611144
-120.89100910000974
-108.88651520802159
-61.068968676524655
-458.8205580881526
-370.13645614718314
-303.8071984282833
-335.604323382335
-309.03464869015056
-246.34488919033217
-358.46509955921556
-498.93705899773573
-519.0032009416384
-395.67262520127946
-478.52080294809554
-421.3237390246097
-322.02415976149604
-423.01872290709684
-437.48182277818375
-394.20833738824655
-520.9080105310143
-325.0375629309713
-377.41410179486644
-448.76774341219976
94.03772554735285
-326.11787683465747
-463.98937058622425
-342.41690958431883
-371.07614000907876
-482.7165863619618
-340.4041966198663
-364.8719933246589
85.22253232510941
-468.23025474253535
-309.6703189799557
-303.5836401780534
-174.72344776652653
-256.42297993762935
-84.68874787103653
-178.02234542423497
-490.9855943848359
131.3662973182771
-13.155035403199191
-29.722057294329627
-316.1448182979257
-476.34365615193644
-437.4888308911953
-35.90695593301414
-429.04507530090495
-344.643903413011
-356.22643278000925
-512.1687083467766
-325.89645679890623
-92.41618272272652
-213.81426647133983
-473.2959516697932
-501.29215138029264
-428.3205522647217
-368.3634058689394
58.312620888426295
111.65661626602362
-267.3723501639939
-378.63437022351803
-359.54404642582034
-450.2795639996513
-321.0778258236803
-405.0062574906788
1.59376700237109
-151.6547535826133
-433.5607240456056
50.285823115940346
60.87844647371373
135.1957059230816
-45.831017044273786
-145.50524738214904
-176.30956231280285
-357.86387924437247
-376.27827502439703
-375.8442647816792
-474.15589058566877
-493.1515696694145
-159.26533643282167
53.852779820766806
147.29393436582717
-262.40250618051994
-65.23770698295388
-174.6270153348605
-139.10205600934526
-138.8647933064412
20.15914626119623
-154.33609387372763
-301.85029242597426
-490.07370354761747
-517.0371189962973
