Light Agent Rewards
-648
-853
-814
-657
-888
-706
-864
-762
-867
-501
-607
-506
-489
-549
-692
-602
-501
-553
-417
-345
-502
-427
-347
-341
-420
-436
-376
-385
-339
-263
-336
-481
-310
-457
-144
-315
-96
-124
-294
-115
-49
-199
-127
15
-32
-105
-99
23
66
25
57
45
96
83
51
155
239
188
163
340
363
150
243
255
76
279
293
256
214
368
336
133
277
245
233
350
421
172
367
422
111
215
345
431
300
284
379
380
-2
297
-121
138
155
114
-200
-84
-513
25
232
-198
-60
-349
-587
-172
-84
-420
-172
33
-73
-191
-622
-723
-900
-343
-509
-442
-738
-537
-189
-338
-34
-367
-476
95
117
153
74
49
22
252
234
119
128
-81
-145
103
-410
-105
-73
-213
-55
-10
-111
142
-242
115
-27
92
-304
-12
225
-66
23
-1
75
179
289
140
-63
202
95
130
242
-394
0
-138
-31
-215
-178
95
-15
89
-148
-136
-45
-178
-194
-171
-282
23
-119
68
180
124
198
246
345
144
139
139
51
250
224
129
220
159
224
38
58
38
146
226
294
286
297
-4
275
148
168
-47
140
103
241
354
256
346
120
207
344
291
151
282
125
240
-404
109
-792
106
295
187
240
260
-177
358
-59
183
130
214
159
9
217
-108
112
212
-475
-460
-583
119
-967
-657
123
-533
53
-1035
-351
-524
-401
135
-38
-13
219
256
293
210
206
-55
364
317
361
257
259
227
109
59
291
-56
-584
-495
-20
-72
-48
89
187
-264
46
104
-292
-190
30
-506
-611
-259
-98
140
-7
-27
-596
-458
96
-368
1
-454
-952
-217
-409
-319
-241
-197
-192
-177
233
-235
-344
-129
-51
41
-103
13
106
20
284
279
-46
414
155
308
249
199
257
209
154
313
89
296
230
417
255
143
46
140
165
14
183
-486
272
3
121
-83
285
-93
118
7
53
258
283
237
302
159
210
173
397
109
232
193
263
251
270
144
420
-198
311
218
397
60
256
342
84
202
260
342
343
5
285
247
342
-87
245
-7
-7
29
-137
93
310
337
133
240
97
369
404
403
233
60
-34
125
244
53
-76
297
213
-202
381
150
278
88
131
211
108
217
215
362
361
267
213
276
49
267
237
210
210
238
317
87
225
174
262
206
238
322
158
229
366
377
231
190
103
246
70
-88
237
190
434
87
218
309
260
195
307
292
200
225
181
154
221
190
225
-11
243
165
301
34
-53
3
256
189
239
47
-168
218
99
86
150
314
208
402
304
128
-297
351
373
358
324
241
301
338
294
297
409
15
291
380
197
